apellidos,formacion,apellidosNombre,genero,fchAlta,grupo,idCircunscripcion,nombreCircunscripcion,nombre,codParlamentario,dateOfBirth,legislaturas,mailto,img,twitter,facebook,personal-web,legislatura_IX,legislatura_X,legislatura_XI,legislatura_XII,legislatura_XIII,legislatura_XIV,instagram,legislatura_V,legislatura_VI,legislatura_VII,legislatura_VIII,linkedin,youtube,legislatura_II,legislatura_III,years
Sancho Íñiguez,PSOE,"Sancho Íñiguez, Herminio Rufino",1,19/11/2019,Socialista,44,Teruel,Herminio Rufino,15,1966-04-07,"['XIII', 'XIV']",herminio.sancho@congreso.es,www.congreso.es/docu/imgweb/diputados/15_14.jpg,https://twitter.com/sancho_herminio,,,,,,,XIII,XIV,,,,,,,,,,56
Santamaría Ruiz,PP,"Santamaría Ruiz, Luis",1,27/11/2019,Popular en el Congreso,46,Valencia/València,Luis,269,1969-04-24,"['XIII', 'XIV']",luis.santamaria@congreso.es,www.congreso.es/docu/imgweb/diputados/269_14.jpg,https://twitter.com/LuisStamaria,,,,,,,XIII,XIV,,,,,,,,,,53
Santiago Romero,UP,"Santiago Romero, Enrique Fernando",1,20/11/2019,Confederal de Unidas Podemos-En Comú Podem-Galicia en Común,28,Madrid,Enrique Fernando,45,1964-07-18,"['XIII', 'XIV']",enrique.santiago@congreso.es,www.congreso.es/docu/imgweb/diputados/45_14.jpg,https://twitter.com/EnriqueSantiago,,,,,,,XIII,XIV,,,,,,,,,,58
Sarrià Morell,PSOE,"Sarrià Morell, Vicent Manuel",1,21/11/2019,Socialista,46,Valencia/València,Vicent Manuel,90,1967-10-13,"['XIII', 'XIV']",vicent.sarria@congreso.es,www.congreso.es/docu/imgweb/diputados/90_14.jpg,https://twitter.com/SarriMorell,,,,,,,XIII,XIV,,,,,,,,,,54
Sayas López,NA+,"Sayas López, Sergio",1,20/11/2019,Mixto,31,Navarra,Sergio,55,1979-07-06,"['XIII', 'XIV']",sergio.sayas@congreso.es,www.congreso.es/docu/imgweb/diputados/55_14.jpg,https://twitter.com/sergiosayas,,,,,,,XIII,XIV,,,,,,,,,,43
Segura Just,Vox,"Segura Just, Juan Carlos",1,16/03/2021,VOX,8,Barcelona,Juan Carlos,380,1960-04-25,['XIV'],carlos.segura@congreso.es,www.congreso.es/docu/imgweb/diputados/380_14.jpg,,https://www.facebook.com/juancarlos.segurajust,,,,,,,XIV,,,,,,,,,,62
Senderos Oraá,PSOE,"Senderos Oraá, Daniel",1,24/02/2020,Socialista,1,Araba/Álava,Daniel,367,1977-09-27,['XIV'],daniel.senderos@congreso.es,www.congreso.es/docu/imgweb/diputados/367_14.jpg,https://twitter.com/danielsenderos,,,,,,,,XIV,,,,,,,,,,44
Serrada Pariente,PSOE,"Serrada Pariente, David",1,19/11/2019,Socialista,37,Salamanca,David,37,1977-12-03,"['XI', 'XII', 'XIII', 'XIV']",david.serrada@congreso.es,www.congreso.es/docu/imgweb/diputados/37_14.jpg,https://twitter.com/dvserrada,,,,,XI,XII,XIII,XIV,,,,,,,,,,44
Serrano Martínez,PSOE,"Serrano Martínez, Juan Francisco",1,25/11/2019,Socialista,23,Jaén,Juan Francisco,158,1988-03-19,"['XIII', 'XIV']",jfserrano@congreso.es,www.congreso.es/docu/imgweb/diputados/158_14.jpg,https://twitter.com/jfrserrano,https://www.facebook.com/juanf.serranomartinez,,,,,,XIII,XIV,,,,,,,,,,34
Seva Ruiz,PSOE,"Seva Ruiz, Yolanda",2,22/11/2019,Socialista,3,Alicante/Alacant,Yolanda,137,1970-01-31,"['XIII', 'XIV']",yolanda.seva@congreso.es,www.congreso.es/docu/imgweb/diputados/137_14.jpg,https://twitter.com/yolandaalcaldes,https://www.facebook.com/yolanda.sevaruiz,,,,,,XIII,XIV,,,,,,,,,,52
Sicilia Alférez,PSOE,"Sicilia Alférez, Felipe Jesús",1,27/11/2019,Socialista,23,Jaén,Felipe Jesús,259,1979-12-15,"['X', 'XI', 'XII', 'XIII', 'XIV']",felipe.sicilia@congreso.es,www.congreso.es/docu/imgweb/diputados/259_14.jpg,https://twitter.com/felipe_sicilia,,,,X,XI,XII,XIII,XIV,,,,,,,,,,42
Simancas Simancas,PSOE,"Simancas Simancas, Rafael",1,27/11/2019,Socialista,28,Madrid,Rafael,287,1966-07-01,"['IX', 'X', 'XI', 'XII', 'XIII', 'XIV']",rsimancas@congreso.es,www.congreso.es/docu/imgweb/diputados/287_14.jpg,https://twitter.com/SimancasRafael,,http://rafaelsimancas.wordpress.com,IX,X,XI,XII,XIII,XIV,,,,,,,,,,56
Soler Mur,PSOE,"Soler Mur, Alejandro",1,25/11/2019,Socialista,3,Alicante/Alacant,Alejandro,144,1972-09-30,"['XIII', 'XIV']",alejandro.soler@congreso.es,www.congreso.es/docu/imgweb/diputados/144_14.jpg,https://twitter.com/AlejandroSolerM,https://www.facebook.com/asolermur,,,,,,XIII,XIV,,,,,,,,,,49
Soto Burillo,PSOE,"Soto Burillo, Juan Luis",1,27/11/2019,Socialista,30,Murcia,Juan Luis,275,1978-12-21,"['XIII', 'XIV']",juanluis.soto@congreso.es,www.congreso.es/docu/imgweb/diputados/275_14.jpg,https://twitter.com/juanluissotoadd,https://www.facebook.com/juanluis.sotoburillo,,,,,,XIII,XIV,,,,,,,,,,43
Steegmann Olmedillas,Vox,"Steegmann Olmedillas, Juan Luis",1,22/11/2019,VOX,28,Madrid,Juan Luis,135,1955-07-08,['XIV'],juanluis.steegmann@congreso.es,www.congreso.es/docu/imgweb/diputados/135_14.jpg,https://twitter.com/jlsteeg_doc,,,,,,,,XIV,,,,,,,,,,67
Suárez Illana,PP,"Suárez Illana, Adolfo",1,19/11/2019,Popular en el Congreso,28,Madrid,Adolfo,32,1964-05-05,"['XIII', 'XIV']",,www.congreso.es/docu/imgweb/diputados/32_14.jpg,,,,,,,,XIII,XIV,,,,,,,,,,58
Suárez Lamata,PP,"Suárez Lamata, Eloy",1,26/11/2019,Popular en el Congreso,50,Zaragoza,Eloy,214,1962-02-08,"['X', 'XI', 'XII', 'XIII', 'XIV']",eloy.suarez@congreso.es,www.congreso.es/docu/imgweb/diputados/214_14.jpg,https://twitter.com/eloysuarezl,,,,X,XI,XII,XIII,XIV,,,,,,,,,,60
Sumelzo Jordán,PSOE,"Sumelzo Jordán, Susana",2,21/11/2019,Socialista,50,Zaragoza,Susana,126,1969-12-22,"['X', 'XI', 'XII', 'XIII', 'XIV']",susana.sumelzo@congreso.es,www.congreso.es/docu/imgweb/diputados/126_14.jpg,https://twitter.com/SSumelzo,https://www.facebook.com/susana.sumelzojordan,,,X,XI,XII,XIII,XIV,,,,,,,,,,52
Taibo Monelos,PsdeG-PSOE,"Taibo Monelos, Diego",1,13/03/2020,Socialista,15,Coruña (A),Diego,373,1975-02-23,['XIV'],diego.taibo@congreso.es,www.congreso.es/docu/imgweb/diputados/373_14.jpg,,,,,,,,,XIV,,,,,,,,,,47
Tarno Blanco,PP,"Tarno Blanco, Ricardo",1,01/12/2021,Popular en el Congreso,41,Sevilla,Ricardo,388,1966-05-20,"['IX', 'X', 'XI', 'XII', 'XIV']",rtarno@congreso.es,www.congreso.es/docu/imgweb/diputados/388_14.jpg,,,,IX,X,XI,XII,,XIV,,,,,,,,,,56
Telechea i Lozano,ERC-S,"Telechea i Lozano, Carolina",2,26/11/2019,Republicano,8,Barcelona,Carolina,188,1981-08-09,"['XII', 'XIII', 'XIV']",carolina.telechea@congreso.es,www.congreso.es/docu/imgweb/diputados/188_14.jpg,https://twitter.com/caroltelechea,,,,,,XII,XIII,XIV,,,,,,,,,,41
Tirado Ochoa,PP,"Tirado Ochoa, Vicente",1,19/11/2019,Popular en el Congreso,45,Toledo,Vicente,16,1963-01-13,"['VIII', 'XIII', 'XIV']",vicente.tirado@congreso.es,www.congreso.es/docu/imgweb/diputados/16_14.jpg,https://twitter.com/vicentetiradopp,,,,,,,XIII,XIV,,,,,VIII,,,,,59
Tizón Vázquez,PsdeG-PSOE,"Tizón Vázquez, Uxía",2,13/03/2020,Socialista,32,Ourense,Uxía,374,1989-06-22,['XIV'],uxia.tizon@congreso.es,www.congreso.es/docu/imgweb/diputados/374_14.jpg,,,,,,,,,XIV,https://www.instagram.com/uxia_tizon/,,,,,,,,,33
Toscano de Balbín,Vox,"Toscano de Balbín, Carla",2,27/11/2019,VOX,28,Madrid,Carla,296,1977-11-14,"['XIII', 'XIV']",carla.toscano@congreso.es,www.congreso.es/docu/imgweb/diputados/296_14.jpg,https://twitter.com/eledhmel,,,,,,,XIII,XIV,https://www.instagram.com/carla_eledh/,,,,,,,,,44
Trías Gil,Vox,"Trías Gil, Georgina",2,27/11/2019,VOX,5,Ávila,Georgina,277,1973-07-14,['XIV'],georgina.trias@congreso.es,www.congreso.es/docu/imgweb/diputados/277_14.jpg,https://twitter.com/georgina_vox,,,,,,,,XIV,,,,,,,,,,49
Uriarte Bengoechea,PP,"Uriarte Bengoechea, Edurne",2,19/11/2019,Popular en el Congreso,28,Madrid,Edurne,30,1960-10-27,"['XIII', 'XIV']",edurne.uriarte@congreso.es,www.congreso.es/docu/imgweb/diputados/30_14.jpg,https://twitter.com/EdurneUriarte,https://www.facebook.com/edurneuriarteoficial/,,,,,,XIII,XIV,,,,,,,,,,61
Uriarte Torrealday,UP,"Uriarte Torrealday, Roberto",1,26/11/2019,Confederal de Unidas Podemos-En Comú Podem-Galicia en Común,48,Bizkaia,Roberto,207,1960-10-20,"['XIII', 'XIV']",,www.congreso.es/docu/imgweb/diputados/207_14.jpg,https://twitter.com/RoberUriarte,,,,,,,XIII,XIV,,,,,,,,,,61
Utrilla Cano,Vox,"Utrilla Cano, Julio",1,29/11/2019,VOX,46,Valencia/València,Julio,328,1967-03-05,['XIV'],,www.congreso.es/docu/imgweb/diputados/328_14.jpg,https://twitter.com/JulioUtrilla,,,,,,,,XIV,,,,,,,,,,55
Valerio Cordero,PSOE,"Valerio Cordero, Magdalena",2,22/11/2019,Socialista,19,Guadalajara,Magdalena,140,1959-09-27,"['X', 'XIII', 'XIV']",,www.congreso.es/docu/imgweb/diputados/140_14.jpg,https://twitter.com/mvalerio_gu,,,,X,,,XIII,XIV,,,,,,,,,,62
Vallugera Balañà,ERC-S,"Vallugera Balañà, Pilar",2,21/11/2019,Republicano,8,Barcelona,Pilar,88,1967-10-13,['XIV'],pilar.vallugera@congreso.es,www.congreso.es/docu/imgweb/diputados/88_14.jpg,https://twitter.com/PilarVallugera,,,,,,,,XIV,,,,,,,,,,54
Vázquez Blanco,PP,"Vázquez Blanco, Ana Belén",2,21/11/2019,Popular en el Congreso,32,Ourense,Ana Belén,115,1975-01-27,"['VII', 'VIII', 'IX', 'X', 'XII', 'XIII', 'XIV']",ana.vazquez@congreso.es,www.congreso.es/docu/imgweb/diputados/115_14.jpg,https://twitter.com/anadebande,https://www.facebook.com/anabelen.vazquezblanco.1,,IX,X,,XII,XIII,XIV,https://www.instagram.com/anadebande/,,,VII,VIII,https://www.linkedin.com/in/ana-belen-vazquez-blanco-14a79ba7/,,,,47
Vega Arias,Vox,"Vega Arias, Rubén Darío",1,27/11/2019,VOX,38,S/C Tenerife,Rubén Darío,271,1960-05-10,['XIV'],,www.congreso.es/docu/imgweb/diputados/271_14.jpg,,,,,,,,,XIV,,,,,,,,,,62
Vehí Cantenys,CUP-PR,"Vehí Cantenys, Mireia",2,21/11/2019,Mixto,8,Barcelona,Mireia,86,1985-02-09,['XIV'],mireia.vehi@congreso.es,www.congreso.es/docu/imgweb/diputados/86_14.jpg,https://twitter.com/Mireia_veca,,,,,,,,XIV,,,,,,,,,,37
Velarde Gómez,UP,"Velarde Gómez, Martina",2,26/11/2019,Confederal de Unidas Podemos-En Comú Podem-Galicia en Común,14,Córdoba,Martina,235,1979-04-14,"['XIII', 'XIV']",martina.velarde@congreso.es,www.congreso.es/docu/imgweb/diputados/235_14.jpg,https://twitter.com/MartinaVelardeG,,,,,,,XIII,XIV,,,,,,,,,,43
Velasco Morillo,PP,"Velasco Morillo, Elvira",2,18/11/2019,Popular en el Congreso,49,Zamora,Elvira,10,1968-03-05,"['VIII', 'XIII', 'XIV']",elvira.velasco@congreso.es,www.congreso.es/docu/imgweb/diputados/10_14.jpg,,,,,,,,XIII,XIV,,,,,VIII,,,,,54
Vicente Viondi,PSOE,"Vicente Viondi, Daniel",1,20/11/2019,Socialista,28,Madrid,Daniel,80,1975-12-16,"['XIII', 'XIV']",daniel.viondi@congreso.es,www.congreso.es/docu/imgweb/diputados/80_14.jpg,https://twitter.com/viondi,,,,,,,XIII,XIV,,,,,,,,,,46
Vidal Sáez,ECP-GUAYEM EL CANVI,"Vidal Sáez, Aina",2,27/11/2019,Confederal de Unidas Podemos-En Comú Podem-Galicia en Común,8,Barcelona,Aina,266,1985-03-22,"['XI', 'XII', 'XIII', 'XIV']",aina.vidal@congreso.es,www.congreso.es/docu/imgweb/diputados/266_14.jpg,https://twitter.com/AinaVS,https://www.facebook.com/aina.vidal,,,,XI,XII,XIII,XIV,,,,,,,,,,37
Vilches Ruiz,PSOE,"Vilches Ruiz, María Luisa",2,29/11/2019,Socialista,2,Albacete,María Luisa,332,1982-01-16,"['XIII', 'XIV']",marialuisa.vilches@congreso.es,www.congreso.es/docu/imgweb/diputados/332_14.jpg,,,,,,,,XIII,XIV,,,,,,,,,,40
Villagrasa Quero,PSOE,"Villagrasa Quero, Noemí",2,20/11/2019,Socialista,50,Zaragoza,Noemí,49,1980-09-14,"['XIII', 'XIV']",noemi.villagrasa@congreso.es,www.congreso.es/docu/imgweb/diputados/49_14.jpg,https://twitter.com/nvillagrasa,https://www.facebook.com/nvillagrasa,,,,,,XIII,XIV,,,,,,,,,,41
Zamarrón Moreno,PSOE,"Zamarrón Moreno, Agustín",1,19/11/2019,Socialista,9,Burgos,Agustín,19,1946-02-02,"['XIII', 'XIV']",agustin.zamarron@congreso.es,www.congreso.es/docu/imgweb/diputados/19_14.jpg,,,,,,,,XIII,XIV,,,,,,,,,,76
Zambrano García-Raez,Vox,"Zambrano García-Raez, Carlos José",1,27/11/2019,VOX,11,Cádiz,Carlos José,254,1969-02-23,['XIV'],carlos.zambrano@congreso.es,www.congreso.es/docu/imgweb/diputados/254_14.jpg,,,,,,,,,XIV,,,,,,,,,,53
Zaragoza Alonso,PSC-PSOE,"Zaragoza Alonso, José",1,26/11/2019,Socialista,8,Barcelona,José,196,1961-09-12,"['X', 'XI', 'XII', 'XIII', 'XIV']",jzaragoza@congreso.es,www.congreso.es/docu/imgweb/diputados/196_14.jpg,https://twitter.com/j_zaragoza_,https://www.facebook.com/JoseZaragozaAlonso,,,X,XI,XII,XIII,XIV,https://www.instagram.com/_josezaragoza_/,,,,,,,,,60
Zurita Expósito,PP,"Zurita Expósito, Ana María",2,21/11/2019,Popular en el Congreso,38,S/C Tenerife,Ana María,111,1963-11-03,"['XII', 'XIII', 'XIV']",ana.zurita@congreso.es,www.congreso.es/docu/imgweb/diputados/111_14.jpg,https://twitter.com/AnaZurita7,https://www.facebook.com/ana.zuritaexposito,,,,,XII,XIII,XIV,https://www.instagram.com/anazurita7/,,,,,,,,,58
